app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,0,0,1,2,2,2,2,3,5,5,22,19.5
com.radioplayer.mobile,8,17,27,33,36,41,50,60,68,78,418,375.0
de.komoot.android,0,0,2,3,5,6,7,11,16,20,70,60.0
com.funnmedia.waterminder,2,4,7,9,11,15,17,19,21,23,128,115.5
com.pallo.passiontimerscoped,92,186,288,378,481,572,659,756,837,930,5179,4668.0
org.iggymedia.periodtracker,8,21,24,31,39,58,86,98,107,121,593,528.5
com.google.android.wearable.app,17,36,37,74,98,129,132,147,150,156,976,889.5
au.com.auspost.android,0,0,0,0,0,0,0,0,0,1,1,0.5
com.calm.android,0,0,0,0,0,0,0,2,2,2,6,5.0
com.outdooractive.Outdooractive,8,11,15,50,53,63,79,87,96,101,563,508.5
