app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1,2,6,13,15,18,18,18,18,18,127,117.5
com.radioplayer.mobile,2,28,28,28,35,44,46,52,60,65,388,354.5
de.komoot.android,52,213,666,774,878,956,1008,1115,1194,1221,8077,7440.5
com.funnmedia.waterminder,2,5,7,11,13,15,17,19,21,25,135,121.5
com.pallo.passiontimerscoped,113,203,312,416,475,570,661,768,867,889,5274,4773.0
org.iggymedia.periodtracker,18,62,106,127,142,177,197,212,230,241,1512,1382.5
com.google.android.wearable.app,4,31,34,36,52,73,92,120,148,170,760,673.0
au.com.auspost.android,17,32,33,33,33,33,33,33,33,33,313,288.0
com.calm.android,6,6,6,8,8,10,12,14,20,20,110,97.0
com.outdooractive.Outdooractive,33,81,114,152,185,188,201,216,254,261,1685,1538.0
