app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,1,2,4,5,6,7,8,9,10,14,66,58.5
com.radioplayer.mobile,2,5,7,10,14,17,19,22,22,22,140,128.0
de.komoot.android,2,11,20,28,37,47,56,66,76,85,428,384.5
com.funnmedia.waterminder,2,4,6,8,10,12,14,16,18,20,110,99.0
com.pallo.passiontimerscoped,4,7,11,14,28,40,51,64,87,100,406,354.0
org.iggymedia.periodtracker,19,36,55,73,93,110,127,142,142,146,943,860.5
com.google.android.wearable.app,1,3,5,11,14,15,17,19,21,23,129,117.0
au.com.auspost.android,1,2,3,4,5,6,7,8,9,10,55,49.5
com.calm.android,0,2,2,4,4,4,6,6,6,10,44,39.0
com.outdooractive.Outdooractive,0,2,2,2,2,4,4,4,4,4,28,26.0
