app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,0/172,0/172,1/172,2/172,2/172,2/172,2/172,3/172,5/172,5/172,22,19.5
com.radioplayer.mobile,1/79,2/79,4/79,5/79,8/79,11/79,12/79,13/79,14/79,16/79,86,77.5
de.komoot.android,0/250,0/250,1/250,2/250,3/250,4/250,5/250,6/250,7/250,9/250,37,32.5
com.funnmedia.waterminder,2/22,4/22,7/22,9/22,11/22,13/22,15/22,17/22,19/22,21/22,118,106.5
com.pallo.passiontimerscoped,4/40,8/40,12/40,16/40,20/40,24/40,28/40,32/40,36/40,40/40,220,198.0
org.iggymedia.periodtracker,4/221,10/221,13/221,18/221,21/221,25/221,33/221,36/221,40/221,44/221,244,220.0
com.google.android.wearable.app,5/107,9/107,10/107,13/107,17/107,22/107,25/107,30/107,33/107,38/107,202,180.5
au.com.auspost.android,0/41,0/41,0/41,0/41,0/41,0/41,0/41,0/41,0/41,1/41,1,0.5
com.calm.android,0/29,0/29,0/29,0/29,0/29,0/29,0/29,2/29,2/29,2/29,6,5.0
com.outdooractive.Outdooractive,4/45,7/45,11/45,18/45,21/45,28/45,37/45,45/45,54/45,59/45,284,252.5
