app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,0/172,1/172,1/172,1/172,1/172,2/172,2/172,2/172,3/172,3/172,16,14.5
com.radioplayer.mobile,2/79,6/79,7/79,9/79,11/79,13/79,17/79,18/79,22/79,24/79,129,116.0
de.komoot.android,26/250,52/250,78/250,105/250,131/250,157/250,183/250,209/250,236/250,263/250,1440,1295.5
com.funnmedia.waterminder,2/22,5/22,7/22,9/22,11/22,13/22,16/22,16/22,18/22,21/22,118,106.5
com.pallo.passiontimerscoped,4/40,8/40,12/40,16/40,20/40,24/40,28/40,32/40,36/40,40/40,220,198.0
org.iggymedia.periodtracker,8/221,16/221,28/221,32/221,40/221,47/221,50/221,54/221,64/221,68/221,407,369.0
com.google.android.wearable.app,3/107,7/107,10/107,15/107,18/107,23/107,28/107,34/107,34/107,38/107,210,189.5
au.com.auspost.android,3/41,6/41,10/41,14/41,17/41,21/41,24/41,28/41,28/41,28/41,179,163.5
com.calm.android,0/29,0/29,0/29,2/29,2/29,2/29,2/29,2/29,5/29,8/29,23,19.0
com.outdooractive.Outdooractive,17/45,23/45,31/45,44/45,52/45,59/45,74/45,84/45,93/45,105/45,582,521.0
