app,episode 0,episode 1,episode 2,episode 3,episode 4,episode 5,episode 6,episode 7,episode 8,episode 9,cumulative sinks,area
com.habitrpg.android.habitica,2/172,6/172,9/172,13/172,17/172,48/172,51/172,54/172,57/172,61/172,318,286.5
com.radioplayer.mobile,2/79,3/79,3/79,4/79,6/79,9/79,11/79,14/79,16/79,19/79,87,76.5
de.komoot.android,1/250,2/250,30/250,58/250,86/250,114/250,140/250,168/250,197/250,225/250,1021,908.0
com.funnmedia.waterminder,2/22,4/22,6/22,8/22,10/22,12/22,14/22,16/22,18/22,19/22,109,98.5
com.pallo.passiontimerscoped,4/40,8/40,12/40,16/40,20/40,24/40,28/40,32/40,36/40,40/40,220,198.0
org.iggymedia.periodtracker,10/221,22/221,34/221,46/221,58/221,66/221,78/221,90/221,102/221,114/221,620,558.0
com.google.android.wearable.app,3/107,6/107,9/107,12/107,15/107,19/107,22/107,25/107,28/107,32/107,171,153.5
au.com.auspost.android,1/41,1/41,2/41,3/41,4/41,5/41,6/41,7/41,7/41,7/41,43,39.0
com.calm.android,0/29,0/29,0/29,0/29,0/29,0/29,1/29,1/29,1/29,2/29,5,4.0
com.outdooractive.Outdooractive,3/45,5/45,15/45,16/45,21/45,25/45,33/45,43/45,53/45,62/45,276,243.5
