app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,6,158,192,13,9,238,109,8,209,171
com.radioplayer.mobile,25,24,25,25,33,32,24,24,29,24
de.komoot.android,175,302,211,277,299,118,234,181,304,217
com.funnmedia.waterminder,120,126,117,115,111,120,110,103,130,85
com.pallo.passiontimerscoped,111,109,112,113,110,110,112,114,111,112
org.iggymedia.periodtracker,107,134,134,116,128,85,105,86,106,125
com.google.android.wearable.app,81,81,99,86,81,91,49,91,76,71
au.com.auspost.android,93,133,104,91,129,90,86,87,62,69
com.calm.android,25,32,40,31,60,23,43,41,43,28
com.outdooractive.Outdooractive,13,130,11,109,20,53,11,155,148,18
