app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,4,166,3,3,3,13,4,2,29,2
com.radioplayer.mobile,20,19,5,14,15,4,13,7,21,18
de.komoot.android,187,139,107,213,214,225,239,227,95,133
com.funnmedia.waterminder,105,107,118,119,16,99,99,15,107,68
com.pallo.passiontimerscoped,106,116,5,283,18,107,145,115,119,108
org.iggymedia.periodtracker,4,115,95,125,93,122,116,135,102,12
com.google.android.wearable.app,94,71,95,89,91,83,82,79,34,105
au.com.auspost.android,41,95,70,92,10,75,21,79,436,297
com.calm.android,64,50,20,47,33,35,32,36,118,83
com.outdooractive.Outdooractive,7,149,135,50,135,162,70,173,137,75
