app,0,1,2,3,4,5,6,7,8,9
com.habitrpg.android.habitica,7,1,19,31,12,6,80,77,72,69
com.radioplayer.mobile,35,48,48,39,28,29,34,42,26,45
de.komoot.android,73,83,81,68,84,77,75,70,80,74
com.funnmedia.waterminder,71,65,72,72,70,69,70,64,67,70
com.pallo.passiontimerscoped,71,69,68,69,73,70,70,71,69,71
org.iggymedia.periodtracker,67,68,68,68,69,67,69,68,67,69
com.google.android.wearable.app,64,64,61,64,65,68,62,60,64,68
au.com.auspost.android,51,59,60,59,57,58,61,58,67,59
com.calm.android,51,51,54,55,75,37,42,28,31,53
com.outdooractive.Outdooractive,53,61,58,78,66,36,52,36,31,34
